Light intensity 1%,,,,Light Intensity 3%,,,,Light Intensity 10%,,,,Light Intensity 16%,,,,Light Intensity 25%,,,,Light Intensity 32%,,,,Light Intensity 40%,,,,Light Intensity 50%,,,,Liight Intensity 63%,,,,Light Intensity 79%,,,,Light Intensity 93%,,,,Light Intensity 100%,,,,
Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,
2.98E-01,-1.79E-05,,,2.98E-01,-3.62E-05,,,2.98E-01,-1.21E-04,,,2.98E-01,-1.67E-04,,,2.98E-01,-2.72E-04,,,2.98E-01,-3.74E-04,,,2.98E-01,-4.60E-04,,,2.98E-01,-5.44E-04,,,2.98E-01,-6.82E-04,,,2.98E-01,-8.28E-04,,,2.98E-01,-9.76E-04,,,2.98E-01,-1.05E-03,,,
3.33E-01,-1.79E-05,,,3.33E-01,-3.63E-05,,,3.33E-01,-1.21E-04,,,3.33E-01,-1.67E-04,,,3.33E-01,-2.72E-04,,,3.33E-01,-3.74E-04,,,3.33E-01,-4.59E-04,,,3.33E-01,-5.45E-04,,,3.33E-01,-6.85E-04,,,3.33E-01,-8.31E-04,,,3.33E-01,-9.76E-04,,,3.33E-01,-1.05E-03,,,
3.67E-01,-1.79E-05,,,3.67E-01,-3.63E-05,,,3.67E-01,-1.21E-04,,,3.67E-01,-1.67E-04,,,3.67E-01,-2.72E-04,,,3.67E-01,-3.72E-04,,,3.67E-01,-4.59E-04,,,3.67E-01,-5.45E-04,,,3.67E-01,-6.85E-04,,,3.67E-01,-8.30E-04,,,3.67E-01,-9.80E-04,,,3.67E-01,-1.04E-03,,,
4.02E-01,-1.78E-05,,,4.02E-01,-3.62E-05,,,4.02E-01,-1.21E-04,,,4.02E-01,-1.67E-04,,,4.02E-01,-2.71E-04,,,4.02E-01,-3.71E-04,,,4.02E-01,-4.60E-04,,,4.02E-01,-5.45E-04,,,4.02E-01,-6.82E-04,,,4.02E-01,-8.31E-04,,,4.02E-01,-9.77E-04,,,4.02E-01,-1.04E-03,,,
4.37E-01,-1.76E-05,,,4.37E-01,-3.62E-05,,,4.37E-01,-1.21E-04,,,4.37E-01,-1.67E-04,,,4.37E-01,-2.71E-04,,,4.37E-01,-3.73E-04,,,4.37E-01,-4.58E-04,,,4.37E-01,-5.43E-04,,,4.37E-01,-6.81E-04,,,4.37E-01,-8.26E-04,,,4.37E-01,-9.75E-04,,,4.37E-01,-1.04E-03,,,
4.71E-01,-1.76E-05,,,4.71E-01,-3.61E-05,,,4.71E-01,-1.22E-04,,,4.71E-01,-1.66E-04,,,4.71E-01,-2.70E-04,,,4.71E-01,-3.71E-04,,,4.71E-01,-4.56E-04,,,4.71E-01,-5.41E-04,,,4.71E-01,-6.79E-04,,,4.71E-01,-8.28E-04,,,4.71E-01,-9.76E-04,,,4.71E-01,-1.05E-03,,,
5.06E-01,-1.75E-05,,,5.06E-01,-3.60E-05,,,5.06E-01,-1.21E-04,,,5.06E-01,-1.66E-04,,,5.06E-01,-2.69E-04,,,5.06E-01,-3.73E-04,,,5.06E-01,-4.56E-04,,,5.06E-01,-5.41E-04,,,5.06E-01,-6.80E-04,,,5.06E-01,-8.28E-04,,,5.06E-01,-9.73E-04,,,5.06E-01,-1.04E-03,,,
5.41E-01,-1.74E-05,,,5.41E-01,-3.59E-05,,,5.41E-01,-1.21E-04,,,5.41E-01,-1.66E-04,,,5.41E-01,-2.71E-04,,,5.41E-01,-3.71E-04,,,5.41E-01,-4.59E-04,,,5.41E-01,-5.37E-04,,,5.41E-01,-6.79E-04,,,5.41E-01,-8.25E-04,,,5.41E-01,-9.75E-04,,,5.41E-01,-1.03E-03,,,
5.76E-01,-1.73E-05,,,5.76E-01,-3.59E-05,,,5.76E-01,-1.20E-04,,,5.76E-01,-1.66E-04,,,5.76E-01,-2.70E-04,,,5.76E-01,-3.68E-04,,,5.76E-01,-4.55E-04,,,5.76E-01,-5.41E-04,,,5.76E-01,-6.77E-04,,,5.76E-01,-8.25E-04,,,5.76E-01,-9.72E-04,,,5.76E-01,-1.04E-03,,,
6.10E-01,-1.72E-05,,,6.10E-01,-3.59E-05,,,6.10E-01,-1.21E-04,,,6.10E-01,-1.65E-04,,,6.10E-01,-2.69E-04,,,6.10E-01,-3.71E-04,,,6.10E-01,-4.55E-04,,,6.10E-01,-5.39E-04,,,6.10E-01,-6.75E-04,,,6.10E-01,-8.26E-04,,,6.10E-01,-9.67E-04,,,6.10E-01,-1.03E-03,,,
